,brand,category_code,product_code,price,event_type,shopping_time,coupon
15921024,oppo,electronics,smartphone,179.85,view,3,No
36489567,bosch,appliances,hood,102.94,view,7,No
19042939,honor,electronics,smartphone,503.23,view,4,Yes
37818835,zeta,computers,desktop,125.63,view,7,Yes
3885,apple,electronics,smartphone,360.08,view,2,No
9137504,asus,computers,motherboard,308.63,view,6,No
10925104,timberk,appliances,air_heater,60.49,view,12,Yes
9528340,pandora,auto,alarm,701.18,view,12,No
25276846,apple,electronics,smartphone,746.22,view,8,No
2794543,beko,appliances,washer,180.16,view,8,Yes
11589358,apple,electronics,smartphone,742.92,view,2,Yes
42205145,asus,computers,motherboard,141.47,view,16,No
22648078,huawei,electronics,smartphone,127.16,view,11,Yes
41684183,samsung,electronics,smartphone,990.49,view,10,No
18426990,atlantic,appliances,air_conditioner,300.57,view,15,Yes
2290166,xiaomi,electronics,smartphone,452.78,view,17,Yes
38495308,apple,electronics,smartphone,531.29,view,16,Yes
13604776,candy,appliances,washer,295.99,view,12,No
33712647,xiaomi,electronics,smartphone,122.64,view,7,Yes
29109724,ariston,appliances,water_heater,102.87,view,18,No
31993847,apple,electronics,smartphone,1725.03,view,21,Yes
14713124,apple,electronics,smartphone,566.96,view,7,Yes
338606,xiaomi,electronics,smartphone,197.43,view,8,Yes
9869691,kenwood,auto,player,131.27,view,16,No
32983074,lenovo,computers,notebook,462.56,view,16,Yes
728521,converse,apparel,keds,59.18,view,13,No
30300832,xiaomi,electronics,clocks,117.53,view,16,Yes
32985922,samsung,electronics,smartphone,733.61,view,16,Yes
22092981,samsung,electronics,smartphone,771.94,view,4,No
13309289,asel,appliances,oven,56.37,view,8,No
23998533,milavitsa,apparel,underwear,21.9,view,10,Yes
2326932,hp,computers,notebook,249.43,view,18,Yes
29174880,milavitsa,apparel,underwear,15.71,view,20,Yes
28971697,oppo,electronics,smartphone,256.88,view,17,Yes
39383120,lg,electronics,tv,1106.82,view,12,Yes
5414668,racer,sport,bicycle,164.23,view,8,Yes
22131434,pioneer,auto,player,229.09,view,4,Yes
7732153,zelmer,appliances,meat_grinder,53.54,view,3,No
8146995,lorelli,furniture,chair,109.4,view,10,No
19913483,huawei,electronics,smartphone,169.28,view,14,Yes
29730824,polaris,appliances,meat_grinder,53.98,view,9,No
30627120,casio,electronics,clocks,379.42,view,22,Yes
5438683,samsung,electronics,smartphone,252.19,view,8,Yes
184597,xiaomi,electronics,smartphone,135.14,view,5,Yes
36084439,apple,computers,notebook,2496.59,view,21,Yes
14824187,samsung,electronics,smartphone,229.07,view,8,Yes
26086768,lg,appliances,washer,508.47,view,17,Yes
27776369,apple,electronics,headphone,160.4,view,20,Yes
23391490,samsung,electronics,tv,369.37,view,2,No
16822279,apple,electronics,smartphone,1565.03,view,13,Yes
6777028,dauscher,appliances,mixer,12.84,view,9,No
1499798,xiaomi,electronics,smartphone,103.07,view,6,Yes
179342,arnica,appliances,vacuum,192.85,view,5,Yes
16955430,apple,electronics,smartphone,952.15,view,15,Yes
17746022,xiaomi,electronics,smartphone,98.51,view,6,No
21951498,apple,electronics,smartphone,913.54,view,22,No
24402825,samsung,electronics,smartphone,286.22,view,15,No
33732242,denzel,auto,compressor,324.42,view,7,Yes
22716903,indesit,appliances,refrigerators,349.59,view,12,Yes
17972149,samsung,appliances,washer,296.02,view,9,Yes
2592987,xiaomi,electronics,smartphone,142.86,view,5,Yes
10677292,samsung,electronics,smartphone,250.96,view,9,No
2574534,samsung,electronics,tablet,169.37,view,4,No
18618044,crown,electronics,headphone,16.73,view,16,Yes
15270481,brw,furniture,bed,236.3,view,14,No
8815757,pulser,computers,desktop,236.79,view,21,Yes
37307256,microlab,computers,desktop,19.72,view,17,Yes
7747562,ibox,auto,radar,62.91,view,4,No
29365952,samsung,electronics,smartphone,247.08,view,4,Yes
568546,lg,electronics,tv,395.2,view,11,Yes
12052359,apple,electronics,smartphone,1007.97,view,9,Yes
18439656,vitek,appliances,kettle,20.34,view,15,Yes
40070727,huawei,electronics,smartphone,149.3,view,3,Yes
